z,alpha,dalpha_dz,d2alpha_dz2,Rule1Weight,Rule2Weight,Rule3Weight,DominantRule
-1.0,0.03276818008812061,0.04190781224115699,0.061812018659762547,0.8601114260570519,0.13929687426376977,0.0005916996791782467,1
-0.999,0.032810087900361766,0.041969624259816755,0.09278818125825475,0.8596709169109371,0.13973336429080568,0.0005957187982573164,1
-0.998,0.03285211933664024,0.0420933886036735,0.12390469232396994,0.8592292408547422,0.14017099490007556,0.0005997642451821059,1
-0.997,0.03289427467756911,0.042217433644464696,0.124185472511265,0.8587863961853472,0.14060976763169367,0.0006038361829590131,1
-0.996,0.03293655420392917,0.04234175954869603,0.12446641799689062,0.8583423812061475,0.14104968401833817,0.000607934775514432,1
-0.995,0.032978958196666505,0.04246636648045848,0.12474752634702979,0.8578971942271217,0.14149074558517924,0.0006120601876991348,1
-0.994,0.03302148693689009,0.04259125460139009,0.1250287951001099,0.8574508335649009,0.14193295384980645,0.0006162125852926645,1
-0.993,0.033064140705869285,0.0427164240706587,0.1253102218084361,0.8570032975428362,0.14237631032215614,0.0006203921350077385,1
-0.992,0.033106919785031406,0.042841875045006965,0.12559180402431358,0.8565545844910669,0.1428208165044384,0.0006245990044946753,1
-0.991,0.0331498244559593,0.042967607678707324,0.12587353925494124,0.8561046927465898,0.1432664738910643,0.0006288333623458309,1
-0.99,0.03319285500038882,0.04309362212351685,0.126155425016202,0.8556536206533278,0.14371328396857228,0.0006330953781000457,1
-0.989,0.03323601170020633,0.04321991852873973,0.1264374588430538,0.8552013665621986,0.1441612482155544,0.0006373852222471048,1
-0.988,0.0332792948374463,0.043346497041202955,0.12671963823228372,0.8547479288311849,0.144610368102583,0.0006417030662322165,1
-0.987,0.03332270469428874,0.043473357805204296,0.1270019606841587,0.8542933058254031,0.14506064509213643,0.0006460490824605047,1
-0.986,0.03336624155305671,0.04360050096257127,0.1272844236972075,0.8538374959171736,0.14551208063852483,0.0006504234443015097,1
-0.985,0.03340990569621388,0.04372792665259871,0.12756702474567272,0.8533804974860907,0.14596467618781575,0.000654826326093703,1
-0.984,0.03345369740636191,0.04385563501206262,0.12784976131420533,0.8529223089190917,0.14641843317775932,0.0006592579031490214,1
-0.983,0.03349761696623801,0.04398362617522712,0.1281326308735785,0.852462928610529,0.14687335303771365,0.0006637183517574128,1
-0.982,0.03354166465871236,0.044111900273809776,0.12841563089630015,0.8520023549622393,0.14732943718856945,0.0006682078491913898,1
-0.981,0.03358584076678563,0.04424045743701972,0.12869875883579618,0.8515405863836144,0.1477866870426749,0.0006727265737106002,1
-0.98,0.0336301455735864,0.04436929779148137,0.12898201213855365,0.8510776212916734,0.14824510400376023,0.0006772747045664149,1
-0.979,0.03367457936236859,0.04449842146129683,0.1292653882649374,0.8506134581111318,0.14870468946686158,0.0006818524220065227,1
-0.978,0.033719142416508995,0.044627828568011244,0.12954888464929137,0.8501480952744748,0.14916544481824556,0.0006864599072795461,1
-0.977,0.03376383501950461,0.04475751923059541,0.12983249872075542,0.8496815312220273,0.14962737143533286,0.0006910973426396595,1
-0.976,0.033808657454970185,0.044887493565452755,0.13011622791020405,0.8492137644020267,0.150090470686622,0.0006957649113512299,1
-0.975,0.03385361000663552,0.04501775168641582,0.1304000696485118,0.8487447932706939,0.15055474393161258,0.0007004627976934714,1
-0.974,0.03389869295834302,0.04514829370474978,0.13068402134747126,0.8482746162923059,0.1510201925207289,0.0007051911869651068,1
-0.973,0.03394390659404502,0.045279119729110764,0.13096808041193608,0.8478032319392682,0.1514868177952428,0.0007099502654890421,1
