z,alpha,Rule1Weight,Rule2Weight,Rule3Weight
-1.0,0.03276818008812061,0.8601114260570519,0.13929687426376977,0.0005916996791782467
-0.9,0.037616742412383136,0.8100398017430954,0.18880595242809983,0.0011542458288047437
-0.75,0.047821709509920304,0.710893472896992,0.28608682230298094,0.0030197048000269754
-0.5,0.07488705155834864,0.4935277558006025,0.4935277558006025,0.01294448839879498
-0.25,0.11944498719867368,0.2742100542575044,0.6813810444157559,0.044408901326739775
0.0,0.1954398518782809,0.12232918350844094,0.7553416329831182,0.12232918350844094
0.25,0.3244169465499649,0.044408901326739775,0.6813810444157559,0.2742100542575044
0.5,0.5035450138640135,0.01294448839879498,0.4935277558006025,0.4935277558006025
0.75,0.6792122459356928,0.0030197048000269754,0.28608682230298094,0.710893472896992
0.9,0.759105103859652,0.0011542458288047437,0.18880595242809983,0.8100398017430954
1.0,0.7994198707775835,0.0005916996791782467,0.13929687426376977,0.8601114260570519
