Seed,TrainSize,fixed,fuzzy,nonfuzzy,Fuzzy_vs_Fixed_Reduction_pct,Fuzzy_vs_NonFuzzy_Reduction_pct
42,1000,0.17787098960876466,0.027191336727142332,0.016184103369712828,84.7128883765976,-68.01262390617576
42,3000,0.019383620047569276,0.01004443962574005,0.009919594860076904,48.180785626781656,-1.258567183682122
42,5000,0.011104482102394104,0.008790972650051116,0.008771492075920106,20.834014869042832,-0.22208962810887764
42,9000,0.00902616480588913,0.007529292047023773,0.007742560648918152,16.583707378007553,2.754497014165183
123,1000,0.15620650300979613,0.02738699631690979,0.021830281162261964,82.46744163065203,-25.454162103297723
123,3000,0.014824428725242615,0.00985168354511261,0.01023960931301117,33.54426178772445,3.788482119192125
123,5000,0.010795690989494323,0.008573820877075195,0.008828838551044464,20.581082902255268,2.888462310131383
123,9000,0.008558936762809754,0.007551676177978516,0.007750761914253235,11.768524674793506,2.568595687458946
456,1000,0.1873303876876831,0.07453977584838867,0.018592139410972597,60.20945839675448,-300.92091717211
456,3000,0.02388213849067688,0.011389319717884063,0.009323928380012511,52.310302017843874,-22.151514401366306
456,5000,0.011849939703941345,0.009006295156478881,0.008434035241603851,23.99712250448544,-6.785125962625298
456,9000,0.008799687469005585,0.007715712225437164,0.00764974457025528,12.3183379794614,-0.8623510834386349
