Controller,BestEpoch,BestValMSE,TestMSE,TestMAE,Kappa,AlphaMin,AlphaRule1,AlphaRule2,AlphaRule3
fixed,12,0.008750476717948914,0.010441812686622143,0.07819138467311859,0.9,0.02,,,
nonfuzzy,12,0.008016726464033126,0.008768233470618725,0.07423625141382217,0.9,0.02,,,
fuzzy,11,0.007804177284240723,0.008630691096186638,0.07344815880060196,0.9,0.02,0.02001042664051056,0.10780841112136841,0.9119639992713928
