Seed,Architecture,epoch,train_mse,val_mse,val_mae,epoch_time_sec
42,A: Fixed-alpha,1,0.5128280602296194,0.28191966552734377,0.42249722747802737,3.525884199887514
42,A: Fixed-alpha,2,0.17044185671541426,0.084506782579422,0.21949057464599608,3.412529399851337
42,A: Fixed-alpha,3,0.06673663980431027,0.04229889180660248,0.15189705734252928,3.346275300020352
42,A: Fixed-alpha,4,0.03273512869328261,0.020147169256210327,0.10252916927337646,3.3764704999048263
42,A: Fixed-alpha,5,0.016738119170069694,0.01375405856370926,0.08816075649261475,3.2235601998399943
42,A: Fixed-alpha,6,0.013453908801906639,0.012682918524742126,0.08772522201538085,3.22556299995631
42,A: Fixed-alpha,7,0.01236350052886539,0.011363854146003723,0.08213831748962402,3.2609080001711845
42,A: Fixed-alpha,8,0.011661237053573132,0.010770317137241364,0.0804378101348877,3.2596197000239044
42,A: Fixed-alpha,9,0.011007996037602425,0.010342188525199891,0.07869985961914062,3.3637348997872323
42,A: Fixed-alpha,10,0.010634748912519879,0.00998769817352295,0.07745848140716553,3.242632299894467
42,A: Fixed-alpha,11,0.010363521557715204,0.009650513231754303,0.07627324237823487,3.286872399970889
42,A: Fixed-alpha,12,0.010107913467619155,0.010358346843719482,0.08006698207855224,3.312612800160423
42,B: Learned Value-only alpha,1,0.21593508991599084,0.025351209855079652,0.11652677040100097,6.204859400168061
42,B: Learned Value-only alpha,2,0.017094847459759976,0.012224405241012573,0.08673070240020751,5.878549099899828
42,B: Learned Value-only alpha,3,0.011996607455114524,0.010900337624549866,0.08259712982177735,5.593808700097725
42,B: Learned Value-only alpha,4,0.01099305697116587,0.010081387424468994,0.07956786918640137,5.773738499963656
42,B: Learned Value-only alpha,5,0.01023315655026171,0.009505359411239624,0.07767010898590088,5.972432299982756
42,B: Learned Value-only alpha,6,0.009713459855980343,0.009393364429473876,0.07768037643432617,5.88086639996618
42,B: Learned Value-only alpha,7,0.009395422141585084,0.008928065013885498,0.07570852680206298,5.889870299957693
42,B: Learned Value-only alpha,8,0.009139430781205495,0.008658668661117554,0.07436546421051025,5.750122800003737
