y,delta,z,alpha,mu1,mu2,mu3
-2.0,1.2,0.5188473,0.5116848,0.019927124,0.47566065,0.50441223
-2.0,1.24,0.52062505,0.51285654,0.01976394,0.47438455,0.50585157
-2.0,1.28,0.5223939,0.514022,0.01960274,0.473114,0.5072833
-2.0,1.32,0.5241536,0.51518095,0.01944351,0.47184932,0.5087071
-2.0,1.36,0.5259038,0.5163333,0.019286247,0.4705908,0.5101229
-2.0,1.4,0.5276444,0.5174789,0.019130955,0.46933854,0.5115305
-2.0,1.44,0.5293751,0.5186174,0.018977623,0.4680928,0.51292956
-2.0,1.48,0.5310956,0.5197488,0.018826254,0.46685374,0.51432
-2.0,1.52,0.5328056,0.52087283,0.01867685,0.4656217,0.5157015
-2.0,1.56,0.53450495,0.52198935,0.018529417,0.46439683,0.5170738
-2.0,1.6,0.5361932,0.52309805,0.018383944,0.46317944,0.5184366
-2.0,1.64,0.5378702,0.5241989,0.018240426,0.46196967,0.5197899
-2.0,1.68,0.5395357,0.5252916,0.018098854,0.46076784,0.5211333
-2.0,1.72,0.5411893,0.52637607,0.017959256,0.45957416,0.5224666
-2.0,1.76,0.5428309,0.52745205,0.017821595,0.45838872,0.52378964
-2.0,1.8,0.54446006,0.52851945,0.017685894,0.45721197,0.52510214
-2.0,1.84,0.54607654,0.529578,0.017552143,0.45604405,0.52640384
-2.0,1.88,0.54768026,0.53062755,0.017420322,0.454885,0.52769464
-2.0,1.92,0.54927075,0.531668,0.017290443,0.4537353,0.5289743
-2.0,1.96,0.5508481,0.5326992,0.01716248,0.4525948,0.53024274
-2.0,2.0,0.55241203,0.5337212,0.017036421,0.4514638,0.5314998
-1.96,-2.0,0.34503537,0.3978957,0.042611502,0.59200096,0.3653876
-1.96,-1.96,0.34764642,0.3995551,0.04215522,0.59044343,0.36740133
-1.96,-1.92,0.35023874,0.40120524,0.041706245,0.5888894,0.36940435
-1.96,-1.88,0.35281274,0.40284622,0.041264374,0.5873389,0.3713967
-1.96,-1.84,0.35536867,0.40447804,0.040829446,0.58579206,0.37337846
-1.96,-1.8,0.35790706,0.40610105,0.04040126,0.5842488,0.37534997
-1.96,-1.76,0.36042824,0.4077153,0.039979678,0.582709,0.37731132
-1.96,-1.72,0.36293262,0.409321,0.039564513,0.5811727,0.37926278
-1.96,-1.68,0.3654205,0.41091818,0.03915566,0.57964003,0.3812043
-1.96,-1.64,0.36789235,0.41250724,0.0387529,0.5781107,0.38313636
-1.96,-1.6,0.37034863,0.4140882,0.038356125,0.5765848,0.38505906
-1.96,-1.56,0.37278956,0.41566128,0.037965175,0.57506233,0.38697252
-1.96,-1.52,0.37521565,0.4172265,0.0375799,0.57354313,0.38887691
-1.96,-1.48,0.37762716,0.41878423,0.03720019,0.57202727,0.39077252
-1.96,-1.44,0.3800246,0.42033464,0.03682584,0.5705145,0.39265966
-1.96,-1.4,0.38240823,0.42187774,0.036456805,0.56900495,0.39453828
-1.96,-1.36,0.38477847,0.42341378,0.036092896,0.5674983,0.3964087
-1.96,-1.32,0.38713568,0.42494297,0.03573401,0.56599486,0.3982711
-1.96,-1.28,0.3894801,0.4264654,0.03538004,0.5644943,0.40012565
-1.96,-1.24,0.3918122,0.4279813,0.035030857,0.56299657,0.4019726
-1.96,-1.2,0.39413223,0.42949075,0.03468634,0.5615016,0.40381205
-1.96,-1.16,0.3964405,0.43099385,0.034346398,0.5600094,0.40564412
-1.96,-1.12,0.3987373,0.4324909,0.034010928,0.55852,0.4074691
