Seed,TrainSize,Architecture,Controller,epoch,train_mse,val_mse,val_mae,epoch_time_sec
42,1000,A: Fixed-alpha,fixed,1,0.9469051084518433,0.7953925598144531,0.7489609558105469,0.5347456000745296
42,1000,A: Fixed-alpha,fixed,2,0.7424953784942627,0.6271690414428711,0.6616996200561523,0.5003369001206011
42,1000,A: Fixed-alpha,fixed,3,0.5935537099838257,0.5096919555664062,0.5902957824707031,0.526758800027892
42,1000,A: Fixed-alpha,fixed,4,0.5020666184425354,0.4442880043029785,0.5442226608276367,0.4954998998437077
42,1000,A: Fixed-alpha,fixed,5,0.4529362211227417,0.4044343910217285,0.5182505760192871,0.49853019998408854
42,1000,A: Fixed-alpha,fixed,6,0.41618186235427856,0.3717231101989746,0.492674006652832,0.4880671000573784
42,1000,A: Fixed-alpha,fixed,7,0.3835277163982391,0.33923363189697264,0.46804372482299805,0.5202713999897242
42,1000,A: Fixed-alpha,fixed,8,0.349936865568161,0.30799423904418943,0.44354904403686524,0.49561890005134046
42,1000,A: Fixed-alpha,fixed,9,0.3174816195964813,0.2772381908416748,0.41674578094482423,0.5294260999653488
42,1000,A: Fixed-alpha,fixed,10,0.2842417938709259,0.24522412490844728,0.3867460189819336,0.5060151999350637
42,1000,A: Fixed-alpha,fixed,11,0.2503501069545746,0.211888551902771,0.3534292823791504,0.5495951999910176
42,1000,A: Fixed-alpha,fixed,12,0.21567748498916625,0.17863539390563965,0.31877028770446775,0.4936917999293655
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,1,0.8645400323867798,0.686738703918457,0.690556932067871,0.8408105999697
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,2,0.5765081222057342,0.41632335662841796,0.5340418609619141,0.8617837999481708
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,3,0.32789668488502505,0.20006414527893066,0.36273957595825196,0.8428042000159621
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,4,0.14176129823923111,0.0697042296409607,0.20249045066833496,0.8356807997915894
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,5,0.057198836982250215,0.04863570017814636,0.16405900955200195,0.8600320999976248
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,6,0.05420164093375206,0.050383676528930665,0.16687893981933594,0.8508164000231773
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,7,0.04533835792541504,0.034567720937728884,0.13929290885925294,0.8424841000232846
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,8,0.032672710835933684,0.02771426749229431,0.12565537700653076,0.8345507998019457
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,9,0.028055125638842583,0.02448270003795624,0.11831588726043701,0.8528384000528604
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,10,0.024043036967515946,0.020858621096611022,0.10962696685791015,0.8361923000775278
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,11,0.02051717409491539,0.01849574580192566,0.10414512042999267,0.9303153001237661
42,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,12,0.018244668886065483,0.01672110538482666,0.09983215522766113,1.4143950000870973
42,1000,C: Fuzzy Adaptive alpha,fuzzy,1,0.9440400619506836,0.7774806777954102,0.7335998870849609,2.244895099895075
42,1000,C: Fuzzy Adaptive alpha,fuzzy,2,0.7119887533187866,0.5567029205322266,0.6124127258300781,2.840099300025031
42,1000,C: Fuzzy Adaptive alpha,fuzzy,3,0.5058633770942688,0.3694286262512207,0.48634048919677736,2.6453841000329703
42,1000,C: Fuzzy Adaptive alpha,fuzzy,4,0.3335582454204559,0.23223701515197753,0.36441304702758787,2.807204500073567
42,1000,C: Fuzzy Adaptive alpha,fuzzy,5,0.22671221137046815,0.1689481237411499,0.2938623069763184,2.432887300150469
42,1000,C: Fuzzy Adaptive alpha,fuzzy,6,0.17895727932453157,0.14225787916183472,0.27105203170776365,2.646174699999392
42,1000,C: Fuzzy Adaptive alpha,fuzzy,7,0.14631132984161377,0.11136200809478759,0.2385403392791748,2.9860513999592513
42,1000,C: Fuzzy Adaptive alpha,fuzzy,8,0.1117987438440323,0.08494398598670959,0.205945548248291,2.490367300109938
42,1000,C: Fuzzy Adaptive alpha,fuzzy,9,0.08540022873878479,0.06575297870635986,0.1815116886138916,2.9640632001683116
42,1000,C: Fuzzy Adaptive alpha,fuzzy,10,0.06535127657651901,0.04990179505348206,0.1587795066833496,3.0604751999489963
42,1000,C: Fuzzy Adaptive alpha,fuzzy,11,0.04849364346265793,0.03711532545089722,0.1376510591506958,2.7642987000290304
42,1000,C: Fuzzy Adaptive alpha,fuzzy,12,0.035751900255680084,0.027812776589393615,0.1205748483657837,2.569257700117305
42,3000,A: Fixed-alpha,fixed,1,0.7482443616390229,0.5100106468200684,0.5927029113769531,1.135458700126037
42,3000,A: Fixed-alpha,fixed,2,0.4493769647280375,0.3764893882751465,0.5003746856689453,1.2116654999554157
42,3000,A: Fixed-alpha,fixed,3,0.34520663301150006,0.2855111694335937,0.42470627975463865,1.1722524999640882
42,3000,A: Fixed-alpha,fixed,4,0.25329741938908895,0.18967346229553222,0.33089025421142576,1.1658236999064684
42,3000,A: Fixed-alpha,fixed,5,0.16180018436908722,0.11356225266456604,0.24186752243041992,1.2335604999680072
42,3000,A: Fixed-alpha,fixed,6,0.10747345081965129,0.08351591234207154,0.2120869846343994,1.3155218998435885
42,3000,A: Fixed-alpha,fixed,7,0.08399159923195838,0.06651186270713806,0.19328413429260255,1.470376999815926
42,3000,A: Fixed-alpha,fixed,8,0.06693874780337015,0.053021133494377135,0.1670177293777466,1.3766338999848813
42,3000,A: Fixed-alpha,fixed,9,0.05357957388957341,0.04205180764198303,0.14981839218139648,1.2668628999963403
42,3000,A: Fixed-alpha,fixed,10,0.042328097194433215,0.03370691142082214,0.13840660877227784,1.3207651998382062
42,3000,A: Fixed-alpha,fixed,11,0.0326177205145359,0.025376379323005675,0.11657825832366943,1.305182799929753
42,3000,A: Fixed-alpha,fixed,12,0.024930476849277815,0.01967645869255066,0.10305490703582763,1.302683599991724
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,1,0.5847005517482757,0.19998627319335938,0.362765576171875,1.8910058001056314
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,2,0.08559178493420283,0.04904547557830811,0.1645635471343994,1.6462192002218217
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,3,0.03692716277142366,0.024457216238975524,0.11827674598693848,1.647702000103891
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,4,0.021233765085538227,0.016661363911628722,0.09967901420593261,1.6561870998702943
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,5,0.015387144948045413,0.01336414201259613,0.0904645601272583,1.668178000021726
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,6,0.013044662234683832,0.012247239351272582,0.08760600337982177,1.59695990011096
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,7,0.012250340066850185,0.011887225341796875,0.08636153831481934,1.6795194000005722
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,8,0.011920640354355177,0.011524681973457336,0.08534191951751709,1.532933299895376
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,9,0.011515616695086162,0.011241565561294556,0.08469551219940186,1.6185320001095533
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,10,0.011255500813325246,0.010964670610427857,0.08369838371276855,1.6172555999364704
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,11,0.010982122004032134,0.01075058512687683,0.08289282321929932,1.5140857000369579
42,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,12,0.010761365475753943,0.010517290592193604,0.08193457889556885,1.6662937002256513
42,3000,C: Fuzzy Adaptive alpha,fuzzy,1,0.7061708432833353,0.36988410034179686,0.48469016876220705,4.851569299818948
42,3000,C: Fuzzy Adaptive alpha,fuzzy,2,0.24038928925991057,0.14389069862365722,0.27202810516357423,4.313192100031301
42,3000,C: Fuzzy Adaptive alpha,fuzzy,3,0.11746092601617178,0.0710942973613739,0.18792422332763672,4.036121299955994
42,3000,C: Fuzzy Adaptive alpha,fuzzy,4,0.05475656021634737,0.030116717314720154,0.12431901054382324,4.049354000017047
42,3000,C: Fuzzy Adaptive alpha,fuzzy,5,0.02370459123204152,0.016101857495307924,0.09557224826812744,4.1225242000073195
42,3000,C: Fuzzy Adaptive alpha,fuzzy,6,0.015446375583608946,0.013645541715621948,0.08843410987854004,4.091069299960509
42,3000,C: Fuzzy Adaptive alpha,fuzzy,7,0.013647400585313638,0.012755800890922547,0.08717166843414306,4.2790344001259655
42,3000,C: Fuzzy Adaptive alpha,fuzzy,8,0.01269284421702226,0.012007341051101685,0.08455362930297852,4.12472809990868
42,3000,C: Fuzzy Adaptive alpha,fuzzy,9,0.01205857627093792,0.011484372162818909,0.08297297019958497,3.9951377001125365
42,3000,C: Fuzzy Adaptive alpha,fuzzy,10,0.011480174226065476,0.011059560894966125,0.08201251564025878,4.20415799994953
