seed,epoch,train_mse,val_mse,epoch_time_sec
42,1,0.357266888903247,0.0716074728012085,12.053503299830481
42,2,0.03097639432632261,0.013718263745307923,11.46850370010361
42,3,0.013165787020491228,0.01150599591732025,11.449362100102007
42,4,0.011530101423462231,0.010459637880325317,11.577926700003445
42,5,0.010535307783219549,0.009781707501411437,11.317487499909475
42,6,0.009874577734205458,0.009212202858924866,11.776819800026715
42,7,0.009446882772776815,0.008920777273178101,11.661639099940658
42,8,0.00910839215417703,0.008537051916122437,11.638694999972358
42,9,0.008829546925094392,0.008395759677886963,11.675639699911699
42,10,0.008696706247826418,0.008369868040084839,11.715772999916226
42,11,0.00843179309533702,0.008023652911186218,11.737907199887559
42,12,0.008304187663727336,0.007942217373847961,11.805971900001168
42,13,0.008220500013066663,0.007888655924797058,11.591022700071335
42,14,0.008181269383678833,0.007740577793121338,11.198386200005189
42,15,0.008045491604341402,0.007824252676963806,11.780546199996024
123,1,0.38765151411294935,0.06638549346923828,11.506044000154361
123,2,0.027744034581714205,0.015109514045715332,11.419282499933615
123,3,0.013351718940668635,0.011613189625740051,11.527818700065836
123,4,0.011243896968248818,0.01021231141090393,11.526988500030711
123,5,0.01026493014395237,0.009580363869667053,11.960378100164235
123,6,0.009738319325778219,0.00907151186466217,11.744246699847281
123,7,0.009340427870551745,0.008827328109741212,11.602198800072074
123,8,0.009097081541187234,0.008711887001991271,12.008850899990648
123,9,0.008836825053724977,0.008337657403945924,11.668368400074542
123,10,0.008644052340752549,0.00827160062789917,11.974672100041062
123,11,0.008590016448663342,0.008260410284996033,11.89213789999485
123,12,0.00840876986955603,0.008037932872772217,11.396013299934566
123,13,0.008285289550820987,0.007882709574699403,11.889225699938834
123,14,0.008214543289194505,0.007851214385032654,11.920002999948338
123,15,0.008118661435114014,0.007778641867637635,11.397057700203732
456,1,0.43310151941246455,0.13746422386169432,11.53163899993524
456,2,0.06591389380229844,0.01993250925540924,11.524459399981424
456,3,0.017317286878824233,0.01377823190689087,11.703846799908206
456,4,0.013404951663480864,0.011691777229309083,11.402889599790797
456,5,0.011682664543390274,0.010603861951828003,11.825014400063083
456,6,0.010613621998164388,0.009774879431724549,11.586110200034454
456,7,0.009941304220921463,0.009340038180351257,11.579487799899653
456,8,0.009488038972020149,0.00886712293624878,11.642769199796021
456,9,0.009140334711306625,0.008659745907783508,11.509988999925554
456,10,0.008877985410806205,0.008374659585952758,11.5075181000866
456,11,0.008660961395336522,0.0082269029378891,11.748631299939007
456,12,0.008482895779940818,0.008105482077598572,11.779746499843895
456,13,0.00837846354022622,0.007956217670440673,11.558774699922651
456,14,0.0082512980343567,0.008029897809028625,11.61574549996294
456,15,0.00814410548326042,0.007771325635910034,11.785823100013658
