TrainSize,Architecture,Controller,Seeds,Parameters,TestMSEMean,TestMSEStd,TestMAEMean,TestMAEStd,TestRMSEMean,TestRMSEStd,BestValMSEMean,BestValMSEStd,MeanEpochTimeSec
1000,A: Fixed-alpha,fixed,3,3649,0.17380262676874794,0.015955805573806766,0.30780398648579915,0.0176364491716646,0.4165980108413418,0.019315439360208506,0.17402051499684654,0.016508576580280637,0.7089080583084271
1000,B: Learned Non-Fuzzy alpha,nonfuzzy,3,3682,0.018868841314315796,0.0028332408781736275,0.10465622596740722,0.0055633721773242295,0.13710683100125945,0.010287726214369245,0.019410344417889913,0.002976150752551351,1.1619019944337197
1000,C: Fuzzy Adaptive alpha,fuzzy,3,3678,0.0430393696308136,0.02728032742789112,0.13969107303619385,0.026528995811988882,0.20113595455061403,0.06225388443093635,0.04364144570827485,0.027875615371468595,2.460611975027455
3000,A: Fixed-alpha,fixed,3,3649,0.019363395754496256,0.004528888750591422,0.10111783968607585,0.00954410346656604,0.1385063832316734,0.016403241687715554,0.019646721347173057,0.004437817221222141,1.6565708055406703
3000,B: Learned Non-Fuzzy alpha,nonfuzzy,3,3682,0.009827710851033528,0.00046470409520762285,0.0787694725036621,0.0013452784720403288,0.09911620279770346,0.0023524011131330538,0.010426545437177021,0.0005551698377386806,2.58869027222843
3000,C: Fuzzy Adaptive alpha,fuzzy,3,3678,0.01042848096291224,0.0008376736007816908,0.08016298411687216,0.0021277954503073856,0.10206611834480755,0.004059885885584602,0.010780452497800191,0.0008022381167344965,4.1487474666597945
5000,A: Fixed-alpha,fixed,3,3649,0.011250037598609925,0.0005419869830884078,0.08182014077504476,0.0007713816266843541,0.1060458498279091,0.002544208979175274,0.01176377235253652,0.0005007453574801475,2.609975147248608
5000,B: Learned Non-Fuzzy alpha,nonfuzzy,3,3682,0.008678121956189474,0.00021332111412187838,0.0744073439280192,0.0008561452539202725,0.09315171577252272,0.0011487851134668564,0.009199952554702759,0.0002431193941365711,4.119109147221833
5000,C: Fuzzy Adaptive alpha,fuzzy,3,3678,0.008790362894535065,0.00021623778448221428,0.07457915426890055,0.0007621606078384158,0.09375220610322217,0.0011533074052562315,0.009208902327219645,0.0002038712871088121,6.817760694487434
9000,A: Fixed-alpha,fixed,3,3649,0.008794929679234823,0.00023365035519462175,0.07325291926066081,0.0009753838902640663,0.09377576721589607,0.0012460912716742488,0.009306786561012267,0.00026498366757019747,4.240016663899748
9000,B: Learned Non-Fuzzy alpha,nonfuzzy,3,3682,0.0077143557111422215,5.610494482047343e-05,0.07009259923299153,0.00027976381955674347,0.0878310170962492,0.00031971936272565,0.008220206610361736,6.66819554635529e-05,7.093213519450122
9000,C: Fuzzy Adaptive alpha,fuzzy,3,3678,0.007598893483479818,0.000101785196291124,0.0696334103902181,0.00040149556208956785,0.08717033367255117,0.0005827661142035064,0.008098867122332256,9.444242701010027e-05,12.287832913894412
