Seed,TrainSize,Architecture,Controller,Parameters,BestEpoch,BestValMSE,TestMSE,TestMAE,TestRMSE,MeanEpochTimeSec,Kappa,AlphaMin,AlphaMax,ContractionQBound,AlphaRule1,AlphaRule2,AlphaRule3
456,1000,A: Fixed-alpha,fixed,3649,12,0.18773057441711427,0.1873303876876831,0.3191456428527832,0.43281680615207524,0.8558991916167239,0.9,0.02,1.0,0.998,,,
456,1000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.018902001881599427,0.018592139410972597,0.10686892147064209,0.13635299560689013,1.3521860582986847,0.9,0.02,1.0,0.998,,,
456,1000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.07582798366546631,0.07453977584838867,0.16970253257751464,0.27301973527272466,2.443182125027912,0.9,0.02,1.0,0.998,0.020010681822896004,0.10667315125465393,0.9078713059425354
456,3000,A: Fixed-alpha,fixed,3649,12,0.024069595170021055,0.02388213849067688,0.10980422115325927,0.15453846929058435,1.814762325026095,0.9,0.02,1.0,0.998,,,
456,3000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.009831593441963197,0.009323928380012511,0.07721779098510742,0.09656049078175044,3.1697964499665736,0.9,0.02,1.0,0.998,,,
456,3000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.011691500759124757,0.011389319717884063,0.08251495027542115,0.1067207557970054,4.756819941666133,0.9,0.02,1.0,0.998,0.020011037588119507,0.10972857475280762,0.9112792611122131
456,5000,A: Fixed-alpha,fixed,3649,12,0.012318343007564545,0.011849939703941345,0.08268712615966797,0.10885742833606417,2.9742255916741365,0.9,0.02,1.0,0.998,,,
456,5000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.008921072697639466,0.008434035241603851,0.07342068519592285,0.09183700366194365,4.637717049976345,0.9,0.02,1.0,0.998,,,
456,5000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.009413877153396607,0.009006295156478881,0.0753667911529541,0.09490150239315961,7.477186525046515,0.9,0.02,1.0,0.998,0.020011024549603462,0.1101527065038681,0.9118756055831909
456,9000,A: Fixed-alpha,fixed,3649,12,0.009315398454666137,0.008799687469005585,0.07315678253173828,0.09380664938588087,4.067380033394632,0.9,0.02,1.0,0.998,,,
456,9000,B: Learned Non-Fuzzy alpha,nonfuzzy,3682,12,0.008144959020614625,0.00764974457025528,0.06978734912872314,0.08746281821582974,7.094639475030514,0.9,0.02,1.0,0.998,,,
456,9000,C: Fuzzy Adaptive alpha,fuzzy,3678,12,0.008205904579162598,0.007715712225437164,0.07009547615051269,0.08783912696194768,12.465277800064845,0.9,0.02,1.0,0.998,0.020011069253087044,0.11045578122138977,0.9117876291275024
