Seed,Architecture,Controller,Parameters,BestEpoch,BestValMSE,TestMSE,TestMAE,TestRMSE,MeanEpochTimeSec,Kappa,AlphaMin,AlphaMax,ContractionQBound,AlphaRule1,AlphaRule2,AlphaRule3
42,A: Fixed-alpha Contractive RNN,fixed,3649,14,0.008990534508228301,0.00848559523820877,0.0719039436340332,0.09211729065820798,2.0965733533569924,0.9,0.02,1.0,0.998,,,
42,B: Learned Non-Fuzzy alpha RNN,nonfuzzy,3682,14,0.008116832041740418,0.007582875490188598,0.0695454433441162,0.08707970768318299,3.9251530333422124,0.9,0.02,1.0,0.998,,,
42,C: Fuzzy Adaptive alpha RNN,fuzzy,3678,14,0.007740577793121338,0.007234376895427704,0.06787662658691407,0.0850551403233673,6.830036660019929,0.9,0.02,1.0,0.998,0.02001045271754265,0.10802899301052094,0.912087619304657
123,A: Fixed-alpha Contractive RNN,fixed,3649,15,0.008506298303604125,0.008012911331653595,0.07057886581420898,0.08951486653988595,2.2014688666909934,0.9,0.02,1.0,0.998,,,
123,B: Learned Non-Fuzzy alpha RNN,nonfuzzy,3682,15,0.007691431999206543,0.007190732049942017,0.0677522912979126,0.08479818423729377,4.036788233385111,0.9,0.02,1.0,0.998,,,
123,C: Fuzzy Adaptive alpha RNN,fuzzy,3678,15,0.007778641867637635,0.007268579876422882,0.06792539196014405,0.08525596680832892,7.578394699950392,0.9,0.02,1.0,0.998,0.02001045271754265,0.1077471673488617,0.91159588098526
456,A: Fixed-alpha Contractive RNN,fixed,3649,15,0.008751693880558013,0.00825980703830719,0.0706035608291626,0.0908834805578395,2.17450226667958,0.9,0.02,1.0,0.998,,,
456,B: Learned Non-Fuzzy alpha RNN,nonfuzzy,3682,15,0.007856303334236144,0.00734335265159607,0.06850395812988282,0.08569336410478975,3.985764446683849,0.9,0.02,1.0,0.998,,,
456,C: Fuzzy Adaptive alpha RNN,fuzzy,3678,15,0.007771325635910034,0.007247562313079834,0.0679062437057495,0.08513261603568772,6.758826380005727,0.9,0.02,1.0,0.998,0.020011065527796745,0.11044873297214508,0.9115685224533081
