Architecture,Controller,Seeds,TestMSEMean,TestMSEStd,TestMAEMean,TestMAEStd,TestRMSEMean,TestRMSEStd,BestValMSEMean,BestValMSEStd,MeanEpochTimeSec,Parameters
A: Fixed-alpha Contractive RNN,fixed,3,0.008252771202723184,0.00023642048582100389,0.07102879009246826,0.000758005773016363,0.09083854591864449,0.001301793825556006,0.00874950889746348,0.00024212549655199274,2.1575148289091888,3649
B: Learned Non-Fuzzy alpha RNN,nonfuzzy,3,0.007372320063908895,0.00019767006011073597,0.06860056425730388,0.0009004710562214195,0.08585708534175551,0.0011495393821486732,0.007888189125061035,0.0002144850269584148,3.9825685711370578,3682
C: Fuzzy Adaptive alpha RNN,fuzzy,3,0.00725017302831014,1.725030007708393e-05,0.06790275408426921,2.456925925056835e-05,0.08514790772246132,0.0001012827528693588,0.0077635150988896685,2.019831202366719e-05,7.055752579992016,3678
