Seed,BestEpoch,BestValMSE,TestMSE,AlphaMean,AlphaStd,CorrAlphaAbsDelta,CorrAlphaAbsError,Kappa,AlphaMin,AlphaMax,ContractionQBound
42,14,0.007740577793121338,0.007234376895427704,0.3877094403147697,0.04811232160520298,0.18911967020142637,-0.0011695157549621732,0.9,0.02,1.0,0.998
123,15,0.007778641867637635,0.007268579876422882,0.4436174717783928,0.05326245949618432,0.16208304209029412,0.01052022773591943,0.9,0.02,1.0,0.998
456,15,0.007771325635910034,0.007247562313079834,0.37101406099796297,0.05249991907088553,0.09259237286224835,0.031767544462153435,0.9,0.02,1.0,0.998
