regime,alpha,abs_delta,abs_error,Seed,Index
0,0.39706936478614807,0.10607229173183441,0.031090497970581055,42,0
0,0.4163280129432678,0.048761069774627686,0.04029572010040283,42,1
0,0.4302549958229065,0.07132792472839355,0.07951003313064575,42,2
0,0.4286503195762634,0.05350834131240845,0.0875818133354187,42,3
0,0.39920854568481445,0.1795024871826172,0.09020185470581055,42,4
0,0.32455408573150635,0.11241400241851807,0.0880054235458374,42,5
0,0.27733203768730164,0.032245516777038574,0.14215302467346191,42,6
0,0.30969157814979553,0.16250836849212646,0.11944723129272461,42,7
0,0.37221914529800415,0.04892730712890625,0.035206377506256104,42,8
0,0.3910442292690277,0.035459328442811966,0.0015809200704097748,42,9
0,0.4166185259819031,0.017340540885925293,0.14035844802856445,42,10
0,0.43504729866981506,0.0010907649993896484,0.08667266368865967,42,11
0,0.4258219599723816,0.12043201923370361,0.05236917734146118,42,12
0,0.3963794410228729,0.12931205332279205,0.05511103570461273,42,13
0,0.32397952675819397,0.02609395980834961,0.004315972328186035,42,14
0,0.2855997085571289,0.01902949810028076,0.07053637504577637,42,15
0,0.32789430022239685,0.048642873764038086,0.00710141658782959,42,16
0,0.3551066219806671,0.11414659023284912,0.13647186756134033,42,17
0,0.3877549469470978,0.11317196488380432,0.18037542700767517,42,18
0,0.4139600992202759,0.09410309791564941,0.0013714432716369629,42,19
0,0.43276870250701904,0.01317894458770752,0.0495150089263916,42,20
0,0.4312290847301483,0.0005640983581542969,0.02491813898086548,42,21
0,0.4025043845176697,0.12285072356462479,0.023686997592449188,42,22
0,0.32461220026016235,0.0493617057800293,0.010393500328063965,42,23
0,0.30070585012435913,0.04884672164916992,0.10988461971282959,42,24
0,0.3133902847766876,0.10663235187530518,0.05565059185028076,42,25
0,0.3581233620643616,0.07436424493789673,0.10225605964660645,42,26
0,0.38985055685043335,0.030721545219421387,0.0317101776599884,42,27
0,0.41723722219467163,0.0958395004272461,0.18938416242599487,42,28
0,0.42766568064689636,0.08499479293823242,0.15337932109832764,42,29
0,0.42759689688682556,0.057460010051727295,0.013444185256958008,42,30
0,0.4110242426395416,0.1197090595960617,0.07645170390605927,42,31
0,0.34930676221847534,0.17460507154464722,0.08249783515930176,42,32
0,0.30085697770118713,0.09717929363250732,0.1492842435836792,42,33
0,0.3053451180458069,0.145896315574646,0.1020810604095459,42,34
0,0.3445029854774475,0.1297261118888855,0.12408459186553955,42,35
0,0.3946903944015503,0.09060630202293396,0.043093688786029816,42,36
0,0.4141724109649658,0.03277146816253662,0.07243692874908447,42,37
0,0.43076106905937195,0.05422431230545044,0.12761855125427246,42,38
0,0.4345659911632538,0.048528313636779785,0.0087965726852417,42,39
0,0.4112904965877533,0.04526761174201965,0.02776193618774414,42,40
0,0.3596802353858948,0.11048024892807007,0.02011936902999878,42,41
0,0.29052457213401794,0.02437746524810791,0.09627377986907959,42,42
0,0.2973029613494873,0.02451944351196289,0.09070074558258057,42,43
0,0.3400476276874542,0.029574275016784668,0.023882389068603516,42,44
0,0.38786929845809937,0.020142674446105957,0.02621665596961975,42,45
0,0.4146363139152527,0.03757351636886597,0.1212625503540039,42,46
0,0.42219141125679016,0.014700114727020264,0.01936960220336914,42,47
0,0.43455496430397034,0.10689342021942139,0.10107839107513428,42,48
0,0.4229338765144348,0.07493990659713745,0.021838784217834473,42,49
0,0.3580835163593292,0.14385449886322021,0.0803980827331543,42,50
0,0.29997700452804565,0.06732070446014404,0.00675809383392334,42,51
0,0.31967419385910034,0.04466259479522705,0.0676112174987793,42,52
0,0.34634608030319214,0.07005447149276733,0.03346484899520874,42,53
0,0.378998339176178,0.05576275289058685,0.003895968198776245,42,54
0,0.4101748466491699,0.08828866481781006,0.0571918785572052,42,55
0,0.42323756217956543,0.11482137441635132,0.09334403276443481,42,56
0,0.4310680031776428,0.054404377937316895,0.012518882751464844,42,57
0,0.4260703921318054,0.10356009006500244,0.05727916955947876,42,58
1,0.33372101187705994,0.021226048469543457,0.07671236991882324,42,59
1,0.414164662361145,0.21348100900650024,0.015773773193359375,42,60
1,0.4776005148887634,0.042353153228759766,0.15084302425384521,42,61
1,0.3474781811237335,0.14507722854614258,0.0722651481628418,42,62
1,0.40706026554107666,0.2294880449771881,0.06979840993881226,42,63
1,0.4742954671382904,0.19507241249084473,0.21826791763305664,42,64
1,0.3647295832633972,0.2755848169326782,0.014207124710083008,42,65
1,0.3954733610153198,0.10279503464698792,0.028356894850730896,42,66
1,0.46986058354377747,0.10372161865234375,0.0709763765335083,42,67
1,0.41647234559059143,0.48542696237564087,0.04413524270057678,42,68
1,0.38657262921333313,0.24512100219726562,0.12662483751773834,42,69
1,0.4595789611339569,0.04443621635437012,0.0016033649444580078,42,70
1,0.4211569130420685,0.4802948832511902,0.10943371057510376,42,71
1,0.37061282992362976,0.19325219094753265,0.07608236372470856,42,72
1,0.44789570569992065,0.15209448337554932,0.041431427001953125,42,73
1,0.44883793592453003,0.2633540630340576,0.02036416530609131,42,74
1,0.35320472717285156,0.15557366609573364,0.10429120063781738,42,75
1,0.437775194644928,0.18998372554779053,0.06810927391052246,42,76
1,0.4668634235858917,0.21364867687225342,0.07651662826538086,42,77
1,0.3441738784313202,0.13881802558898926,0.0978020429611206,42,78
1,0.43673449754714966,0.11585783958435059,0.011860132217407227,42,79
1,0.4797206521034241,0.08198201656341553,0.10798251628875732,42,80
1,0.3383769094944,0.03627574443817139,0.01793968677520752,42,81
1,0.4206364154815674,0.1502131223678589,0.013251841068267822,42,82
1,0.4683569669723511,0.003437042236328125,0.08851015567779541,42,83
1,0.32900699973106384,0.10699057579040527,0.15641379356384277,42,84
1,0.41842570900917053,0.10864335298538208,0.05359584093093872,42,85
1,0.4791111350059509,0.14885258674621582,0.2263660430908203,42,86
1,0.3614216446876526,0.16039615869522095,0.11024618148803711,42,87
1,0.4081438183784485,0.2255021035671234,0.1337088942527771,42,88
1,0.47036293148994446,0.038001179695129395,0.05003154277801514,42,89
1,0.35045307874679565,0.20730721950531006,0.04615187644958496,42,90
1,0.39329010248184204,0.07463335990905762,0.12846973538398743,42,91
1,0.46352365612983704,0.1241525411605835,0.11970257759094238,42,92
1,0.41680896282196045,0.5135746002197266,0.10962574183940887,42,93
1,0.38162922859191895,0.12034869939088821,0.03443383425474167,42,94
1,0.4537152349948883,0.17579436302185059,0.08990097045898438,42,95
1,0.44122058153152466,0.4002133011817932,0.14640969038009644,42,96
1,0.3749709725379944,0.20378780364990234,0.11220195889472961,42,97
1,0.44949865341186523,0.1128687858581543,0.0003323554992675781,42,98
1,0.45505717396736145,0.45685696601867676,0.28099822998046875,42,99
1,0.3583979308605194,0.06185197830200195,0.015745460987091064,42,100
1,0.4382489323616028,0.21596205234527588,0.13718187808990479,42,101
1,0.4757393002510071,0.1607152223587036,0.055344343185424805,42,102
1,0.35252848267555237,0.03759044408798218,0.01574784517288208,42,103
1,0.434462308883667,0.055078864097595215,0.06629073619842529,42,104
1,0.45882144570350647,0.10848915576934814,0.02387857437133789,42,105
1,0.33021557331085205,0.1530415415763855,0.13001102209091187,42,106
1,0.4232155680656433,0.14250624179840088,0.03674888610839844,42,107
1,0.472067654132843,0.06512904167175293,0.008908510208129883,42,108
1,0.32953545451164246,0.03232693672180176,0.12572920322418213,42,109
1,0.4088296890258789,0.07501310110092163,0.11817926168441772,42,110
1,0.4702250063419342,0.05364799499511719,0.03509044647216797,42,111
1,0.35885220766067505,0.20006251335144043,0.017287731170654297,42,112
1,0.40067777037620544,0.2637803554534912,0.09614741802215576,42,113
1,0.4736330211162567,0.013379335403442383,0.049819111824035645,42,114
1,0.39860042929649353,0.34105750918388367,0.08573919534683228,42,115
1,0.3916791081428528,0.06654351949691772,0.016239941120147705,42,116
1,0.4673241376876831,0.14255082607269287,0.1214836835861206,42,117
1,0.43031853437423706,0.43186357617378235,0.02548293024301529,42,118
1,0.38164207339286804,0.12341803312301636,0.03188319504261017,42,119
1,0.45461443066596985,0.07219302654266357,0.11724996566772461,42,120
1,0.43273335695266724,0.5244867205619812,0.16336242854595184,42,121
1,0.3738236129283905,0.1664174497127533,0.073294997215271,42,122
2,0.38484516739845276,0.1647532433271408,0.1548502892255783,42,123
2,0.4146622121334076,0.061743319034576416,0.15955018997192383,42,124
2,0.4097345471382141,0.09311912953853607,0.04115454852581024,42,125
2,0.34038394689559937,0.06657624244689941,0.016408681869506836,42,126
2,0.3408363163471222,0.029171109199523926,0.001010119915008545,42,127
2,0.38530468940734863,0.018671497702598572,0.06224958598613739,42,128
2,0.40589088201522827,0.08711984753608704,0.14979252219200134,42,129
2,0.40817874670028687,0.0345914363861084,0.08997577428817749,42,130
2,0.35553303360939026,0.12855243682861328,0.06239724159240723,42,131
2,0.3252626359462738,0.09411942958831787,0.05985414981842041,42,132
2,0.36614474654197693,0.12038561701774597,0.079938143491745,42,133
