Architecture,Controller,Seeds,Parameters,TestMSEMean,TestMSEStd,TestMAEMean,TestMAEStd,TestRMSEMean,TestRMSEStd,BestValMSEMean,BestValMSEStd,MeanEpochTimeSec
A: Fixed-alpha,fixed,3,3649,0.008882933223247527,0.0002517135602480421,0.07344038372039795,0.000875638803309645,0.09424301707518347,0.001334328940443275,0.009383160058657329,0.00026710569182570215,2.6273313861133327
B: Learned Value-only alpha,value,3,3674,0.007694193681081135,3.780704909420018e-05,0.06988089485168457,0.00015063382681378248,0.08771637633257735,0.00021565306442849648,0.008191695261001587,4.010030391651623e-05,4.746856236105992
C: Learned Value+Delta alpha,valuedelta,3,3682,0.007678746875127156,8.177807410922855e-05,0.07002147382100422,0.00042832902202679025,0.08762763323099136,0.000465998061180504,0.008188563259442646,9.561526450544512e-05,4.442301491663481
D: Fuzzy Value+Delta alpha,fuzzy,3,3678,0.007517832605044047,8.349310649514266e-05,0.06922476221720378,0.0004308053758875855,0.08670454326142608,0.00048184469210380714,0.008028544108072917,8.203628800492991e-05,7.1444273277496295
