TransitionAt,FromRegime,ToRegime,PreAlpha,PostAlpha,DeltaAlpha,PreZ,PostZ,DeltaZ,PreMAE,PostMAE
13200,10,11,0.4189409974217415,0.3775870543718338,-0.04135394304990769,0.3766721020638943,0.3116540522128344,-0.06501804985105991,0.07885973020340316,0.07292474938381929
14400,11,12,0.36867920726537706,0.3679094782471657,-0.0007697290182113736,0.29716419413685796,0.2941425710916519,-0.0030216230452060344,0.07058170268312097,0.06942787206964568
15600,12,13,0.37344190537929534,0.4141635063290596,0.04072160094976429,0.30330640375614165,0.3689273937046528,0.06562098994851112,0.06607504833489657,0.09012712261173875
16800,13,14,0.4080433762073517,0.37668081998825076,-0.031362556219100945,0.3594858038425446,0.31018489606678484,-0.04930090777575974,0.08052449788898229,0.06673069147625937
