Seed,Architecture,epoch,train_mse,val_mse,val_mae,epoch_time_sec
42,A: Fixed-alpha Contractive RNN,1,0.5128280602296194,0.28191966552734377,0.42249722747802737,2.069948900025338
42,A: Fixed-alpha Contractive RNN,2,0.17044185671541426,0.084506782579422,0.21949057464599608,1.9913374001625925
42,A: Fixed-alpha Contractive RNN,3,0.06673663980431027,0.04229889180660248,0.15189705734252928,1.9654902999754995
42,A: Fixed-alpha Contractive RNN,4,0.03273512869328261,0.020147169256210327,0.10252916927337646,1.9843898999970406
42,A: Fixed-alpha Contractive RNN,5,0.016738119170069694,0.01375405856370926,0.08816075649261475,2.107639699941501
42,A: Fixed-alpha Contractive RNN,6,0.013453908801906639,0.012682918524742126,0.08772522201538085,2.0874785999767482
42,A: Fixed-alpha Contractive RNN,7,0.01236350052886539,0.011363854146003723,0.08213831748962402,2.1265549999661744
42,A: Fixed-alpha Contractive RNN,8,0.011661237053573132,0.010770317137241364,0.0804378101348877,2.1454341001808643
42,A: Fixed-alpha Contractive RNN,9,0.011007996037602425,0.010342188525199891,0.07869985961914062,2.0867157999891788
42,A: Fixed-alpha Contractive RNN,10,0.010634748912519879,0.00998769817352295,0.07745848140716553,2.0646884001325816
42,A: Fixed-alpha Contractive RNN,11,0.010363521557715204,0.009650513231754303,0.07627324237823487,2.148524099960923
42,A: Fixed-alpha Contractive RNN,12,0.010107913467619155,0.010358346843719482,0.08006698207855224,2.164848400047049
42,A: Fixed-alpha Contractive RNN,13,0.009849678342541059,0.009309112215042114,0.07509246273040772,2.196454399963841
42,A: Fixed-alpha Contractive RNN,14,0.009610567447212007,0.008990534508228301,0.07406695671081542,2.0607459999155253
42,A: Fixed-alpha Contractive RNN,15,0.009378568071458074,0.009198502385616302,0.0751619068145752,2.248349300120026
42,B: Learned Non-Fuzzy alpha RNN,1,0.23479130336642265,0.025003424978256226,0.11946403884887695,4.013742600101978
42,B: Learned Non-Fuzzy alpha RNN,2,0.01688785285751025,0.012294469666481019,0.08783302154541016,3.7805522000417113
42,B: Learned Non-Fuzzy alpha RNN,3,0.012154837291273805,0.01126775267124176,0.08485259571075439,3.9903358998708427
42,B: Learned Non-Fuzzy alpha RNN,4,0.01130621766547362,0.010501422834396363,0.08190370635986328,3.8744276000652462
42,B: Learned Non-Fuzzy alpha RNN,5,0.010628192613522212,0.009963541102409363,0.0798753345489502,4.14432829990983
42,B: Learned Non-Fuzzy alpha RNN,6,0.010101516703764598,0.00965180675983429,0.07880686111450196,3.820140999974683
42,B: Learned Non-Fuzzy alpha RNN,7,0.009760109889010589,0.00921160159111023,0.07694864883422851,3.8814399999100715
42,B: Learned Non-Fuzzy alpha RNN,8,0.009439447515540652,0.009077131199836731,0.07629325637817383,3.769704000093043
42,B: Learned Non-Fuzzy alpha RNN,9,0.009210906070967514,0.008715167474746705,0.0748740520477295,3.947050799848512
