TransitionAt,FromRegime,ToRegime,PreAlpha,PostAlphaMean200,DeltaAlpha,PreMAE100,PostMAE200,AdaptationLagSteps,Controller
13200,10,11,0.10000003129243851,0.10000001639127731,-1.4901161193847656e-08,0.09005805104970932,0.06721606850624084,19.0,fixed
14400,11,12,0.10000003129243851,0.10000001639127731,-1.4901161193847656e-08,0.0658506378531456,0.06925582140684128,19.0,fixed
15600,12,13,0.10000003129243851,0.10000001639127731,-1.4901161193847656e-08,0.06431864947080612,0.114417664706707,19.0,fixed
16800,13,14,0.10000003129243851,0.10000001639127731,-1.4901161193847656e-08,0.09983185678720474,0.066130131483078,19.0,fixed
13200,10,11,0.612993597984314,0.5731588006019592,-0.039834797382354736,0.07643118500709534,0.07540173828601837,43.0,nonfuzzy
14400,11,12,0.5614786744117737,0.5693962574005127,0.007917582988739014,0.07378850132226944,0.07417207211256027,68.0,nonfuzzy
15600,12,13,0.5754397511482239,0.6074293851852417,0.03198963403701782,0.06932564079761505,0.08822387456893921,30.0,nonfuzzy
16800,13,14,0.6006280183792114,0.5723673105239868,-0.02826070785522461,0.0779854878783226,0.06900998204946518,19.0,nonfuzzy
13200,10,11,0.4189409613609314,0.37758705019950867,-0.04135391116142273,0.07885973155498505,0.07292474806308746,42.0,fuzzy
14400,11,12,0.3686792254447937,0.3679094612598419,-0.0007697641849517822,0.07058169692754745,0.06942787021398544,66.0,fuzzy
15600,12,13,0.3734418749809265,0.4141635000705719,0.040721625089645386,0.06607504934072495,0.0901271253824234,30.0,fuzzy
16800,13,14,0.40804341435432434,0.37668082118034363,-0.03136259317398071,0.0805245041847229,0.06673069298267365,19.0,fuzzy
