model,seed,step,max_abs_jacobian_difference,analytic_spectral_norm,autograd_spectral_norm,spectral_difference
C_fuzzy_contractive,42,0,1.4901161193847656e-08,0.7483698129653931,0.7483710646629333,1.2516975402832031e-06
C_fuzzy_contractive,42,434,7.450580596923828e-09,0.7328055500984192,0.7328073978424072,1.8477439880371094e-06
C_fuzzy_contractive,42,869,1.4901161193847656e-08,0.7457922101020813,0.7457950115203857,2.8014183044433594e-06
C_fuzzy_contractive,42,1304,2.9802322387695312e-08,0.7090969681739807,0.7090981602668762,1.1920928955078125e-06
C_fuzzy_contractive,42,1738,1.4901161193847656e-08,0.692013144493103,0.6920133233070374,1.7881393432617188e-07
C_fuzzy_contractive,42,2173,1.4901161193847656e-08,0.7441524863243103,0.744152307510376,1.7881393432617188e-07
C_fuzzy_contractive,42,2608,1.4901161193847656e-08,0.7452853322029114,0.7452858686447144,5.364418029785156e-07
C_fuzzy_contractive,42,3043,1.4901161193847656e-08,0.725455641746521,0.725456178188324,5.364418029785156e-07
C_fuzzy_contractive,42,3477,7.450580596923828e-09,0.7459166646003723,0.745915412902832,1.2516975402832031e-06
C_fuzzy_contractive,42,3912,7.450580596923828e-09,0.715860903263092,0.7158609628677368,5.960464477539063e-08
C_fuzzy_contractive,42,4347,1.4901161193847656e-08,0.725280225276947,0.7252799272537231,2.980232238769531e-07
C_fuzzy_contractive,42,4782,1.4901161193847656e-08,0.7459397912025452,0.7459397912025452,0.0
C_fuzzy_contractive,42,5216,1.4901161193847656e-08,0.7302293181419373,0.7302314043045044,2.086162567138672e-06
C_fuzzy_contractive,42,5651,7.450580596923828e-09,0.7414656281471252,0.7414652705192566,3.5762786865234375e-07
C_fuzzy_contractive,42,6086,7.450580596923828e-09,0.7423242330551147,0.7423266768455505,2.4437904357910156e-06
C_fuzzy_contractive,42,6521,1.4901161193847656e-08,0.7300198674201965,0.730015754699707,4.112720489501953e-06
C_fuzzy_contractive,42,6955,1.4901161193847656e-08,0.7351915240287781,0.7351902723312378,1.2516975402832031e-06
C_fuzzy_contractive,42,7390,1.4901161193847656e-08,0.7371187210083008,0.7371175289154053,1.1920928955078125e-06
C_fuzzy_contractive,42,7825,1.4901161193847656e-08,0.7466239929199219,0.7466256022453308,1.6093254089355469e-06
C_fuzzy_contractive,42,8260,1.4901161193847656e-08,0.7172179818153381,0.7172179818153381,0.0
C_fuzzy_contractive,42,8694,1.4901161193847656e-08,0.7161140441894531,0.7161132097244263,8.344650268554688e-07
