model,seed,alpha_mean,alpha_std,alpha_min,alpha_max,z_mean,z_std,rule1_share,rule2_share,rule3_share
C_fuzzy_contractive,42,0.9155966639518738,0.019522296264767647,0.8186878561973572,0.9318787455558777,1.2508387565612793,0.0852782130241394,0.0002817039785441011,0.07968702167272568,0.9200312495231628
D_fuzzy_unconstrained,42,0.805313766002655,0.026065370067954063,0.6515209078788757,0.8365643620491028,0.8980792164802551,0.05344158411026001,0.002187440637499094,0.2124812752008438,0.7853313088417053
C_fuzzy_contractive,123,0.9113336801528931,0.0177287794649601,0.8272881507873535,0.9254984259605408,1.2299314737319946,0.07317027449607849,0.00030701744253747165,0.08414424955844879,0.9155486226081848
D_fuzzy_unconstrained,123,0.749887228012085,0.02055523917078972,0.6718307137489319,0.773695170879364,0.7850650548934937,0.035933464765548706,0.004074089229106903,0.27986106276512146,0.7160648703575134
C_fuzzy_contractive,456,0.8313354253768921,0.025568442419171333,0.7031193971633911,0.8574024438858032,0.9550741314888,0.057950083166360855,0.0015803785063326359,0.18320266902446747,0.8152168989181519
D_fuzzy_unconstrained,456,0.536201000213623,0.01536189392209053,0.4758354723453522,0.566392719745636,0.4496292471885681,0.022103358060121536,0.02302641049027443,0.5289612412452698,0.44801241159439087
