model,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,fro_mean,fro_max,spectral_mean,spectral_max,perturb_gain_mean,perturb_gain_p95,perturb_gain_max
A_fixed_contractive,0.010364066188534101,0.000312427697065425,0.08112789938847224,0.0015302874686837268,0.899999996026357,0.9000000357627869,0.7858467896779379,0.7986168265342712,0.0,0.0,0.0
B_adaptive_contractive,0.009842757446070513,0.0003035422250355984,0.07915173470973969,0.0010351566453259968,0.8999999761581421,0.9000000953674316,0.7314549088478088,0.7452073097229004,0.0,0.0,0.0
C_fuzzy_contractive,0.00968088023364544,0.000278868500386508,0.07851932694514592,0.0007823868878003795,0.8999999761581421,0.9000000953674316,0.7428862253824869,0.7618180513381958,0.0,0.0,0.0
D_fuzzy_unconstrained,0.007293544399241607,0.00020489074789967267,0.06721453120311101,0.0011357118569520904,6.976917266845703,7.027668476104736,1.5032136837641399,1.6187344789505005,0.001946803725635012,0.007336335877577464,0.040531158447265625
