model,seed,best_val_mse,test_mse,test_mae,mean_epoch_sec,fro_norm,spectral_norm,perturb_gain_mean,perturb_gain_median,perturb_gain_p95,perturb_gain_max
A_fixed_contractive,42,0.010391106829047203,0.010096274316310883,0.07949908822774887,1.6099006250035017,0.8999999761581421,0.7986168265342712,0.0,0.0,0.0,0.0
B_adaptive_contractive,42,0.009730779565870762,0.009712480939924717,0.07842718809843063,6.634568334976211,0.9000000953674316,0.7405778765678406,0.0,0.0,0.0,0.0
C_fuzzy_contractive,42,0.009675382636487484,0.009661572054028511,0.07821451127529144,8.608920769998804,0.8999999761581421,0.7591055631637573,0.0,0.0,0.0,0.0
D_fuzzy_unconstrained,42,0.007197703700512648,0.007137428503483534,0.06616862863302231,7.021650094969663,6.9635701179504395,1.3998507261276245,0.002068627392873168,0.0011920928955078125,0.007726248353719711,0.040531158447265625
A_fixed_contractive,123,0.010042913258075714,0.010288613848388195,0.08134900033473969,2.0513151499908417,0.9000000357627869,0.7807921767234802,0.0,0.0,0.0,0.0
B_adaptive_contractive,123,0.009421180933713913,0.009626099839806557,0.07869070768356323,6.689653760020155,0.8999999165534973,0.7085795402526855,0.0,0.0,0.0,0.0
C_fuzzy_contractive,123,0.00918915681540966,0.009412167593836784,0.07793522626161575,10.321423064998816,0.8999998569488525,0.7618180513381958,0.0,0.0,0.0,0.0
D_fuzzy_unconstrained,123,0.007091723848134279,0.007217650767415762,0.06705234944820404,8.883602470019833,7.027668476104736,1.6187344789505005,0.0022810855880379677,0.0011920928955078125,0.00951438769698143,0.022649765014648438
A_fixed_contractive,456,0.010053080506622791,0.010707310400903225,0.08253560960292816,2.95153083500918,0.8999999761581421,0.778131365776062,0.0,0.0,0.0,0.0
B_adaptive_contractive,456,0.009429388679564,0.010189691558480263,0.08033730834722519,6.960603225009981,0.8999999165534973,0.7452073097229004,0.0,0.0,0.0,0.0
C_fuzzy_contractive,456,0.009184692054986954,0.009968901053071022,0.07940824329853058,9.034387545008212,0.9000000953674316,0.7077350616455078,0.0,0.0,0.0,0.0
D_fuzzy_unconstrained,456,0.006905570160597563,0.007525553926825523,0.06842261552810669,8.997022630029823,6.939513206481934,1.4910558462142944,0.0014906981959939003,0.0011920928955078125,0.00476837158203125,0.0095367431640625
