Seed,Model,epoch,train_mse,val_mse,val_mae,epoch_time_sec
42,C_fuzzy_contractive,1,0.35726687833335663,0.07160746893882751,0.1888775032043457,12.192968339000004
42,C_fuzzy_contractive,2,0.03097639507551988,0.013718261480331421,0.08933051090240479,11.41307877099996
42,C_fuzzy_contractive,3,0.013165787200960849,0.011505995488166809,0.08327268676757812,10.774991413999999
42,C_fuzzy_contractive,4,0.011530101396971278,0.010459637665748596,0.08053583431243896,10.24581231000002
42,C_fuzzy_contractive,5,0.01053530840575695,0.009781706523895263,0.07816220397949218,10.869334697
42,C_fuzzy_contractive,6,0.009874577820301055,0.009212203311920165,0.0761372308731079,11.18121322899998
42,C_fuzzy_contractive,7,0.009446882810029719,0.008920777416229249,0.07560067386627198,11.097116836000055
42,C_fuzzy_contractive,8,0.009108391996886995,0.008537052369117736,0.0738023983001709,11.801762189999977
42,C_fuzzy_contractive,9,0.00882954704678721,0.008395759320259094,0.07304483413696289,11.192639190000023
42,C_fuzzy_contractive,10,0.008696706370347076,0.00836986768245697,0.07334061737060547,11.128454760000068
42,C_fuzzy_contractive,11,0.008431793271667428,0.008023653078079224,0.07172951602935791,10.781680238000035
42,C_fuzzy_contractive,12,0.008304188074337112,0.007942217540740967,0.071591184425354,10.153532598000083
42,C_fuzzy_contractive,13,0.008220500251485241,0.007888656044006348,0.07105790748596191,10.910331357000018
42,C_fuzzy_contractive,14,0.008181269371261199,0.007740578770637512,0.07040270099639892,11.28187304700009
42,C_fuzzy_contractive,15,0.00804549175583654,0.007824254417419433,0.07119211673736572,11.156216444999927
42,D_fuzzy_unconstrained,1,0.2956021022862858,0.05183495359420776,0.15731813697814942,9.245024560000047
42,D_fuzzy_unconstrained,2,0.023307249654912286,0.009213522553443909,0.07270270118713379,9.782594741000025
42,D_fuzzy_unconstrained,3,0.00940089711960819,0.006776117777824402,0.06468173656463623,9.68636514800005
42,D_fuzzy_unconstrained,4,0.007596534291903178,0.006979823040962219,0.06591870746612549,9.14614028599999
42,D_fuzzy_unconstrained,5,0.006738361913710833,0.005596219849586487,0.05875308418273926,9.221343950999994
42,D_fuzzy_unconstrained,6,0.006294322580099106,0.005725972986221313,0.05933479537963867,9.812957424000047
42,D_fuzzy_unconstrained,7,0.005953180952204598,0.00543635880947113,0.058379001235961916,9.820957540999984
42,D_fuzzy_unconstrained,8,0.005903410328345167,0.005357342076301575,0.05752530117034912,9.287539173000027
42,D_fuzzy_unconstrained,9,0.00574461266812351,0.006295501589775086,0.06262806777954101,9.116479241999969
42,D_fuzzy_unconstrained,10,0.005684343163751894,0.005141905927658081,0.056839099502563474,9.933287210999993
42,D_fuzzy_unconstrained,11,0.005562212805367179,0.006206284141540527,0.06311449565887452,9.912422576999916
42,D_fuzzy_unconstrained,12,0.005582972231010596,0.00519793393611908,0.057005868148803714,9.373648617999947
42,D_fuzzy_unconstrained,13,0.005589354890502161,0.005498532736301422,0.05874130687713623,8.842919587999972
42,D_fuzzy_unconstrained,14,0.005821420240319438,0.00519792046546936,0.05668166465759277,9.895986051000023
123,C_fuzzy_contractive,1,0.38765152547094556,0.06638549690246583,0.2051219741821289,12.0064288210001
123,C_fuzzy_contractive,2,0.027744034907884067,0.015109512877464294,0.09405508098602294,11.85869839299994
123,C_fuzzy_contractive,3,0.013351718477904796,0.011613189816474915,0.08441189441680909,11.81611697599999
123,C_fuzzy_contractive,4,0.011243896608137422,0.010212311363220214,0.07920744972229003,11.651716704000023
123,C_fuzzy_contractive,5,0.010264929733342594,0.0095803640127182,0.07776987419128419,11.802786138999977
123,C_fuzzy_contractive,6,0.009738319024443626,0.009071511197090149,0.07579861850738526,11.846718864999957
123,C_fuzzy_contractive,7,0.009340428098208375,0.008827328038215638,0.07485742568969726,11.680031001999964
123,C_fuzzy_contractive,8,0.009097081556916237,0.008711887526512146,0.07489544506072998,11.71468874499999
123,C_fuzzy_contractive,9,0.008836825395209922,0.008337658047676087,0.07303755130767822,11.024876737
123,C_fuzzy_contractive,10,0.008644052067564594,0.00827160108089447,0.07293184490203858,11.050176405000002
123,C_fuzzy_contractive,11,0.008590016605125534,0.008260410571098328,0.07253556385040283,11.383421868999903
123,C_fuzzy_contractive,12,0.008408770357569059,0.008037933325767518,0.07164911231994629,11.694223577000002
123,C_fuzzy_contractive,13,0.008285289892719852,0.007882709407806396,0.07107106285095215,11.647360811999988
123,C_fuzzy_contractive,14,0.008214544009003375,0.007851215147972107,0.07114828395843506,11.629306264999968
123,C_fuzzy_contractive,15,0.008118662308487627,0.007778643155097961,0.0704969711303711,11.82193190199996
123,D_fuzzy_unconstrained,1,0.3132895027862655,0.046157946968078616,0.15851469612121583,9.442787152999927
123,D_fuzzy_unconstrained,2,0.0246689027796189,0.014287918949127197,0.09347908325195313,10.077702325000018
123,D_fuzzy_unconstrained,3,0.009906201372130049,0.007718642568588257,0.06833723278045654,9.912387540000054
123,D_fuzzy_unconstrained,4,0.007323361322283744,0.006966543638706207,0.06534963722229004,9.166999225000154
123,D_fuzzy_unconstrained,5,0.006538694434695774,0.006601574206352234,0.06339999904632568,9.353153695000174
123,D_fuzzy_unconstrained,6,0.00638535491997997,0.0064374546766281125,0.06271257343292236,9.907073910999998
123,D_fuzzy_unconstrained,7,0.0061356377833419375,0.005956458628177643,0.06032377662658692,9.837501993999922
123,D_fuzzy_unconstrained,8,0.005902425787929031,0.005845585012435913,0.059862887573242186,9.415502619000108
