Model,Seed,step,max_abs_jacobian_difference,analytic_spectral_norm,autograd_spectral_norm,spectral_difference
D_fuzzy_unconstrained,42,7390,5.960464477539063e-08,1.0502382516860962,1.050236701965332,1.5497207641601562e-06
D_fuzzy_unconstrained,42,7825,5.960464477539063e-08,1.0456687211990356,1.0456644296646118,4.291534423828125e-06
D_fuzzy_unconstrained,42,8260,5.960464477539063e-08,1.0419312715530396,1.0419330596923828,1.7881393432617188e-06
D_fuzzy_unconstrained,42,8694,5.960464477539063e-08,1.0422745943069458,1.0422745943069458,0.0
D_fuzzy_unconstrained,42,9129,5.960464477539063e-08,1.0469814538955688,1.046982765197754,1.3113021850585938e-06
D_fuzzy_unconstrained,42,9564,5.960464477539063e-08,1.0537915229797363,1.0537915229797363,0.0
D_fuzzy_unconstrained,42,9999,5.960464477539063e-08,1.0499303340911865,1.0499329566955566,2.6226043701171875e-06
C_fuzzy_contractive,123,0,1.862645149230957e-09,0.6385987401008606,0.6385989785194397,2.384185791015625e-07
C_fuzzy_contractive,123,434,1.862645149230957e-09,0.5675197243690491,0.5675218105316162,2.086162567138672e-06
C_fuzzy_contractive,123,869,3.725290298461914e-09,0.5487895607948303,0.5487900376319885,4.76837158203125e-07
C_fuzzy_contractive,123,1304,3.725290298461914e-09,0.5510491132736206,0.55104660987854,2.5033950805664062e-06
C_fuzzy_contractive,123,1738,1.862645149230957e-09,0.6694271564483643,0.6694269180297852,2.384185791015625e-07
C_fuzzy_contractive,123,2173,1.862645149230957e-09,0.5700534582138062,0.5700530409812927,4.172325134277344e-07
C_fuzzy_contractive,123,2608,1.862645149230957e-09,0.5580831170082092,0.5580834746360779,3.5762786865234375e-07
C_fuzzy_contractive,123,3043,1.862645149230957e-09,0.5923143625259399,0.5923115015029907,2.86102294921875e-06
C_fuzzy_contractive,123,3477,1.862645149230957e-09,0.6280477643013,0.628046452999115,1.3113021850585938e-06
C_fuzzy_contractive,123,3912,5.960464477539063e-08,0.5922427773475647,0.5922430157661438,2.384185791015625e-07
C_fuzzy_contractive,123,4347,1.862645149230957e-09,0.5784928798675537,0.5784943103790283,1.430511474609375e-06
C_fuzzy_contractive,123,4782,3.725290298461914e-09,0.6690866947174072,0.66908860206604,1.9073486328125e-06
C_fuzzy_contractive,123,5216,5.960464477539063e-08,0.591560959815979,0.5915612578392029,2.980232238769531e-07
